Organisation,SctrCluster,Status,ProvinceCODE,MCODE,
Children International,Food Security and Agriculture,Completed,505,50506,
WFP,Food Security and Agriculture,Completed,520,52006,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54106,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54106,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54106,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54106,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54106,
Citizens' Disaster Response Center,Shelter,Completed,541,54106,
Citizens' Disaster Response Center,Shelter,Completed,541,54106,
Citizens' Disaster Response Center,Shelter,Completed,541,54106,
Citizens' Disaster Response Center,Shelter,Completed,541,54106,
Citizens' Disaster Response Center,Shelter,Completed,541,54106,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Citizens' Disaster Response Center,Shelter,Completed,541,54109,
Philippine Red Cross,Food Security and Agriculture,Completed,541,54111,
Philippine Red Cross,Food Security and Agriculture,Completed,541,54111,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54112,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54112,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54112,
Citizens' Disaster Response Center,Shelter,Completed,541,54112,
Citizens' Disaster Response Center,Shelter,Completed,541,54112,
Citizens' Disaster Response Center,Shelter,Completed,541,54112,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Food Security and Agriculture,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
Citizens' Disaster Response Center,Shelter,Completed,541,54117,
UNDP,Early Recovery & Livelihoods,Completed,604,60401,
IOM+Americares,Health,Completed,604,60401,
Operation Blessing,Health,Completed,604,60401,
Operation Blessing,Health,Completed,604,60401,
World Vision International,Health,Completed,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
World Vision,Food Security and Agriculture,Ongoing,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
CARE,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Ongoing,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Completed,604,60401,
WFP,Food Security and Agriculture,Planned,604,60401,
FAO,Food Security and Agriculture,Ongoing,604,60401,
Kyneton Secondary College-Australia,Education,Completed,604,60401,
Last Mile,Education,Completed,604,60401,
Meralco,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
UNICEF,Education,Completed,604,60401,
