Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
ACTED,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,0,No Data,No Data,tents,No Data,No Data,Planned,83700000,837,No Data,No Data,No Data,4600,,
ACTED,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,tents,No Data,home based (non-displaced),Ongoing,82600000,826,82609000,No Data,No Data,2024,20.11.13,20.11.13
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,AJUY,No Data,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63001000,No Data,No Data,11500,28.11.13,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,AJUY,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63001000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63009000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63014000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CONCEPCION,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63015000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63019000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63038000,No Data,No Data,5,,
ADRA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SARA,TBD,No Data,tools and tarps,No Data,informal camp (displaced),Planned,63000000,630,63044000,No Data,No Data,5,,
ARC,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DULAG,Rawis,No Data,tarpaulins - 1 per HH,No Data,home based (non-displaced),Completed,83700000,837,83718000,No Data,No Data,1150,19.11.13,23.11.13
CARE,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,ALBUERA,TBD,No Data,NFI - kitchen sets,No Data,No Data,Planned,83700000,837,83703000,No Data,No Data,4600,,
CARE,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TOLOSA,TBD,No Data,NFI - kitchen sets,No Data,No Data,Planned,83700000,837,83749000,No Data,No Data,4600,,
CRS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,TBD,No Data,tools and tarps,No Data,home based and evacuation center,Planned,86000000,860,86002000,No Data,No Data,69000,15.11.13,15.12.13
CRS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,TBD,No Data,NFI - kitchen sets,No Data,home based and evacuation center,Planned,86000000,860,86002000,No Data,No Data,69000,15.11.13,15.12.13
CRS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,TBD,No Data,NFI - household kits,No Data,home based and evacuation center,Planned,86000000,860,86002000,No Data,No Data,69000,15.11.13,15.12.13
CONCERN,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CONCEPCION,TBC,No Data,tools and tarps,No Data,No Data,Planned,63000000,630,63015000,No Data,No Data,23000,03.12.13,
CONCERN,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,TBC,No Data,tools and tarps,No Data,No Data,Planned,63000000,630,63014000,No Data,No Data,23000,03.12.13,
CWS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DULAG,TBD,No Data,No Data,No Data,No Data,Planned,83700000,837,83718000,No Data,No Data,5,,
CWS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TOLOSA,TBD,No Data,No Data,No Data,No Data,Planned,83700000,837,83749000,No Data,No Data,5,,
CWS,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TABONTABON,TBD,No Data,No Data,No Data,No Data,Planned,83700000,837,83746000,No Data,No Data,5,,
DART,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SARA,No Data,No Data,No Data,No Data,No Data,Ongoing,63000000,630,63044000,No Data,No Data,5,,
DART,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,0,No Data,No Data,No Data,No Data,No Data,Ongoing,61900000,619,No Data,No Data,No Data,5,,
